virtual_group_id, measure_cd, measure_title, invs_msr, attestation_value, prf_rate, patient_count, collection_type
X00021,IA_VG_AHE_3,Promote Use of Patient-Reported Outcome Tools,N,Y,,,
X00022,IA_VG_AHE_3,Promote Use of Patient-Reported Outcome Tools,N,Y,,,
X00023,IA_VG_AHE_3,Promote Use of Patient-Reported Outcome Tools,N,Y,,,
X00024,IA_VG_AHE_3,Promote Use of Patient-Reported Outcome Tools,N,Y,,,
X00025,IA_VG_AHE_3,Promote Use of Patient-Reported Outcome Tools,N,Y,,,
X00006,IA_VG_AHE_6,Provide Education Opportunities for New Clinicians,N,Y,,,
X00021,IA_VG_BE_6,Regularly Assess Patient Experience of Care and Follow Up on Findings,N,Y,,,
X00022,IA_VG_BE_6,Regularly Assess Patient Experience of Care and Follow Up on Findings,N,Y,,,
X00023,IA_VG_BE_6,Regularly Assess Patient Experience of Care and Follow Up on Findings,N,Y,,,
X00024,IA_VG_BE_6,Regularly Assess Patient Experience of Care and Follow Up on Findings,N,Y,,,
X00025,IA_VG_BE_6,Regularly Assess Patient Experience of Care and Follow Up on Findings,N,Y,,,
X00006,IA_VG_PSPA_6,Consultation of the Prescription Drug Monitoring program,N,Y,,,
X00021,MIPS_VG_126_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy - Neurological Evaluation",N,,100,155,REG
X00022,MIPS_VG_126_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy - Neurological Evaluation",N,,100,30,REG
X00023,MIPS_VG_126_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy - Neurological Evaluation",N,,90,58,REG
X00024,MIPS_VG_126_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy - Neurological Evaluation",N,,83,71,REG
X00025,MIPS_VG_126_overall,"Diabetes Mellitus: Diabetic Foot and Ankle Care, Peripheral Neuropathy - Neurological Evaluation",N,,83,72,REG
